STATION_NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abbotsford A Columbia Street,,,,0.19776859504132233,0.17579495345418913,0.17222534522791152,0.19974003911015428,0.17325931086824528,0.14723238870029098,0.1497158203295372,0.12922139761051374,0.090014
Abbotsford Central,0.25985662239981194,0.22803415783274442,0.2154486268939394,0.21721851981760787,0.21750087750087752,0.21157279356298717,0.22484550427978658,0.199768726751518,0.22153121218046887,0.21754740270079848,0.21462234403996325,0.1423333
Burnaby Kensington Park,0.24867204867204867,0.22178309258820744,0.2079761626548259,0.20770586843350686,0.2103733900508094,0.20749336367083807,0.21545447425649464,0.20559936613466914,0.1827651833036879,0.16461873693419551,0.18684113880171185,0.2225695
Burnaby South,0.2846212209641648,0.24003285613705702,0.23537463976945244,0.21105954055321144,0.22099895214809642,0.22028681610026513,0.22554119959021332,0.21754113606498626,0.2326806203074057,0.21223043529481975,0.19981759237967917,0.1669778
Castlegar Zinio Park,,,0.3213752054286416,0.29138599756838907,,,,,,,,
Chilliwack Airport,0.20787648159700564,0.15932351910269893,0.16829538820782253,0.15745750624034233,0.15049876237623763,0.16082470588235295,0.21973281371063225,0.19232338679736938,0.1902716114450589,0.19437386218002645,0.17212593177077087,0.1118653
Coquitlam Douglas College,0.24031805789951968,0.2198204945316215,0.21769965789784124,0.22336310904872392,0.2209512485136742,0.21782694541231126,0.22411154753007123,0.21235158561203446,0.22587851123595504,0.19183606443245727,0.19545998141897172,0.3798055
Farmington MAML,,0.08721087703297545,,,,,,,,,,
Fort St John North Camp B_Amb,,,,,,,,,0.08059807764761012,,,
Fort St John North Camp C,,,,,,,,,0.10068551299225849,0.14934610842579749,0.12760925405091247,0.1349179
Groundbirch MAML,,0.083579561312611,,,,,,,,,,
Hope Airport,0.17425943396226415,0.1709771948481626,0.1617204301075269,0.1622012358633555,0.15004658746797112,0.1540201850294365,0.1642070454069838,0.15552315449386148,0.17522027505879587,0.17429288127629733,0.152698083880597,0.163537
Horseshoe Bay,0.23289214536928488,0.21300384212364654,0.21177246207701284,0.21704534937528924,0.20264417464394116,0.20348596923799459,0.21904506606275903,0.2123830067515477,0.18182209365987367,0.15824891276257722,0.15212264521406196,0.1601139
Kamloops Brocklehurst,0.21923781918667698,0.13250530412493663,0.23958660406386068,,,,,,,,,
Kelly Lake MAML,,,0.09382496199095022,,,,,,,,,
Kelowna College,0.2371883936341026,0.30604425374043065,0.22486132761684047,0.22615157575395858,0.18517518936671212,0.23277811828972866,0.27175832878787876,0.2385490507314771,0.25185063179861744,0.2649538424961073,0.23751663014092608,
Kelowna KLO Road,,,,,,,,,,,0.22156228030625266,0.289065
Kitimat City Centre MAML,,0.09465362571976968,0.09039145288484338,,,,,,,,,
Langley Central,0.22968395177338172,0.19778851752649354,0.19632221318144832,0.1754379302159981,0.164282804074296,0.1400845105953582,0.1668145087983358,0.1611395916537066,0.17162872728348322,0.2089918770618251,0.1924978341609692,0.1231972
Maple Ridge Golden Ears School,0.26402479037550125,0.22310666045645086,0.2178516713091922,0.21315905915230557,0.21920107930549038,0.20868663325952685,0.22346798093575418,0.20197451626900587,0.23245146846001322,0.21292319686423156,0.20349266720578113,0.2814246
Moricetown MAML,0.3248985919589392,,,,,,,,,,,
North Vancouver Mahon Park,0.276204526602678,0.24216933691965853,0.22954195804195804,0.2331408830073779,0.23134529147982064,0.23107695973314274,0.2428743818309365,0.22059580643552876,0.2415183655636828,0.22327133355003484,0.2193378713841175,
North Vancouver Second Narrows,0.20561484918793504,0.19127019961977187,0.15252505736022218,0.17068338998945023,0.17247830166549377,0.18591895113230036,0.18614695973636908,0.19755324026988635,0.20086129655717763,0.20643010892236383,0.1899637311578214,0.2082778
Osoyoos Canada Customs,0.06183108235686274,0.2289924615352349,0.20323624805261892,0.21392033801827126,,,,,,,,
