datetime,0310162,0310174,0310177,0310179,E206271,E207417,E207418,E209177,E209178,E220891,E223756,E231866,E232245,E232246,E238212,E242892,E275843,E283549,E289309,E316370
2021-01-01 00:00:00,0.2094694,0.1971667,0.1402389,0.1688056,0.2041167,0.1900833,0.1747528,0.1795188,0.217175,0.1896403,0.2159949,0.169938,0.3014395,0.1986897,0.2150338,0.16725,,0.1327778,0.183833,
2021-01-01 01:00:00,0.1857899,0.1989493,0.1622971,0.1461594,0.1629638,0.1799061,0.1603877,0.1625069,0.2132536,0.2007174,0.1791921,0.151224,0.2090322,0.1929576,,0.1813768,,0.1346739,0.19025,0.3153732
2021-01-01 02:00:00,0.1714167,0.1571159,0.1623725,0.1469203,0.1180391,0.1689345,0.1562246,0.1392631,0.2264312,0.1951533,0.181603,0.158637,0.1610339,0.1665424,,0.1680797,,0.1409783,0.184207,0.279221
2021-01-01 03:00:00,0.1608333,0.1286806,0.1484139,0.1212153,0.1188375,0.1344792,0.1381076,0.1340043,0.1984833,0.1707686,0.1724564,0.157215,0.145389,0.1507066,,0.1672917,,0.1495208,0.155552,0.2430104
2021-01-01 04:00:00,0.1466558,0.1169565,0.1280072,0.1183974,0.1240181,0.1175435,0.1211993,0.1350687,0.1798985,0.168442,0.1762661,0.170661,0.1360961,0.1427109,,0.1657609,,0.1282971,0.142337,0.2171377
2021-01-01 05:00:00,0.1398587,0.1265725,0.1246449,0.1317628,0.1284783,0.1297862,0.1242754,0.1301161,0.1680471,0.1806014,0.1525328,0.167131,0.1321853,0.1396866,,0.1575362,,0.128442,0.150902,0.2018899
2021-01-01 06:00:00,0.1527778,0.1249167,0.1204167,0.1368889,0.1160083,0.1159224,0.1251278,0.1342171,0.1593528,0.1704278,0.1588847,0.148321,0.1340926,0.1416786,,0.1633056,,0.1210556,0.136569,0.1915667
2021-01-01 07:00:00,0.1585937,0.1210417,0.1269007,0.1386806,0.1173667,0.1262847,0.1159375,0.1360558,0.1621596,0.1525166,0.14969,0.154042,0.1290928,0.1388057,,0.1637153,,0.1133681,0.140101,0.1933472
2021-01-01 08:00:00,0.1540611,0.1373889,0.1356139,0.1350833,0.1051583,0.1200778,0.1228722,0.1421415,0.1625694,0.1586208,0.1401941,0.187906,0.1320429,0.1448781,,0.1568333,,0.1116111,0.133847,0.1957333
2021-01-01 09:00:00,0.1488417,0.1270833,0.1593306,0.1293333,0.1032639,0.1282444,0.1247167,0.1454813,0.1729694,0.1629556,0.1467805,0.16112,0.1355282,0.1519972,,0.159,,0.1115,0.139836,0.2108778
2021-01-01 10:00:00,0.1517472,0.1597778,0.1656167,0.1260556,0.113325,0.1281833,0.1220667,0.147245,0.1735806,0.1646708,0.1459796,0.157203,0.1544001,0.1554181,,0.1636667,,0.1090556,0.147808,0.2344417
2021-01-01 11:00:00,0.1548646,0.1573611,0.1749319,0.1544444,0.1052125,0.1320833,0.1250278,0.15175,0.1610886,0.160854,0.1514241,0.135208,0.143566,0.1541541,,0.1638542,,0.1103403,0.156459,0.2338542
2021-01-01 12:00:00,0.1457945,0.1746389,0.1580444,0.1734722,0.1245306,0.1322611,0.1355028,0.1596529,0.1424333,0.1622972,0.1687512,0.138998,0.1487423,0.152518,,0.1667778,,0.1131944,0.142347,0.2505889
2021-01-01 13:00:00,0.1585139,0.1871111,0.1654389,0.1570556,0.1314639,0.1432917,0.1301972,0.1658278,0.1512,0.1731806,0.15992,,0.2031468,0.1648844,,0.1865555,,0.1225833,0.145306,0.2916556
2021-01-01 14:00:00,0.2195972,0.2016389,0.1548222,0.1932222,0.1293555,0.1359583,0.1348056,0.1794129,0.1600111,0.1707917,0.1681723,0.151866,0.2559415,0.1821161,,0.2588333,,0.1112222,0.174708,0.37605
2021-01-01 15:00:00,0.1920868,0.2717083,0.1600417,0.1926042,0.1345736,0.1221557,0.1481667,0.1967299,0.1640496,0.1870359,0.152045,0.215267,0.1894581,0.1805139,,0.3446875,,0.1118125,0.167242,0.3939898
