datetime,0310162,0310174,0310177,0310179,0450307,0550502,0605008,E206270,E206271,E207417,E207418,E207723,E209177,E209178,E220891,E223756,E227431,E229797,E231866,E232244,E232245,E232246,E238212,E240337,E242892,E249492,E283549,E285829,E286369,E289309,E293810,E299830,E300350,E302130,E304570,E308566,E316370
2022-01-01 00:00:00,1.348554,6.634722,14.30828,19.03905,6.046389,16.28429,1.579383,30.23269,28.59358,0.477285,12.7274,13.91097,10.40143,29.73695,27.28016,25.6397,6.843961,30.79342,10.93944,1.382204,10.78335,3.96398,13.91698,15.705,15.53695,3.543611,27.12238,5.499722,26.8725,33.87937,32.83694,21.45472,14.54492,32.4409,20.50167,1.5,1.267202
2022-01-01 01:00:00,0.8683826,4.914855,0.9039797,19.6342,7.289999,20.2347,1.492746,27.28301,28.55005,0.3721419,16.63661,17.04156,9.418417,31.47819,26.26229,25.42998,6.464295,33.04506,12.95903,0.8624567,9.012419,3.555009,17.26003,24.26611,12.50445,3.346944,25.55672,5.451665,26.92444,29.44975,33.81306,20.23306,12.44649,31.95092,24.09056,,1.030054
2022-01-01 02:00:00,1.005068,4.402391,0.5659012,16.90442,12.65583,21.88434,1.261448,34.53227,28.36201,0.300999,18.89506,21.8567,8.469463,32.48237,28.19474,25.38357,10.49605,30.81893,15.36514,0.9649498,7.094501,6.397307,23.25147,23.64917,2.056994,4.619998,20.88506,3.806943,27.39889,34.07025,34.46341,,5.227683,31.7356,26.67639,4.6,1.606439
2022-01-01 03:00:00,0.9514238,3.903611,7.193171,16.44936,13.99667,25.95138,2.273412,32.09792,28.70143,0.3641172,19.35798,17.94547,4.394024,31.42195,28.24603,24.24718,15.47904,31.58314,22.81403,0.9910641,11.31101,4.762308,23.41992,25.91444,0.5876794,4.532221,24.10011,1.763054,26.22917,25.75926,34.20978,17.94583,8.042371,29.89457,27.68972,,6.308331
2022-01-01 04:00:00,0.727888,3.868116,0.9742849,16.41265,28.47528,25.10626,1.016106,31.69388,29.27773,1.817252,18.31458,20.83014,8.072932,31.78703,27.48389,24.17157,17.92476,31.48909,29.70264,0.7548127,13.61119,6.057705,22.1249,29.15,0.5746804,1.549443,32.60574,7.363611,23.63361,34.02983,34.49819,17.38916,11.67599,31.20368,25.63417,,10.17663
2022-01-01 05:00:00,2.896213,4.674928,1.741891,14.47914,34.49222,29.67704,1.545557,34.57023,27.8533,5.324059,16.93216,19.89138,5.298837,31.13956,27.34646,22.58502,16.98333,31.54081,24.09514,0.3597849,11.03852,9.143631,22.16957,30.33986,0.733972,7.778333,33.35393,27.38389,21.18361,21.66438,31.60616,16.58861,10.1291,29.58275,28.56444,5.32,9.74621
2022-01-01 06:00:00,0.9881926,4.955833,2.400457,11.14441,34.5975,29.75092,3.648381,32.74609,27.44736,17.72399,16.75557,16.78797,2.042814,30.42813,25.53253,19.59609,18.54563,30.98948,33.24139,0.5223416,11.88181,8.705472,23.18581,27.63333,0.8366731,8.347222,32.40498,,22.02278,18.71799,32.73583,16.24639,6.338134,30.05785,27.03839,10.72,10.30583
2022-01-01 07:00:00,0.6956121,2.989167,3.147052,16.03921,34.96444,30.17905,4.644452,34.37556,24.73044,10.35525,14.59424,17.92964,3.516762,29.24861,23.82708,19.27786,16.15418,29.23333,30.67722,0.4598662,11.25404,11.05458,20.22328,24.45986,2.881808,6.304443,32.70964,31.72083,21.38272,18.07994,28.92611,15.66028,11.4887,25.15236,25.32167,13.09,7.781939
2022-01-01 08:00:00,0.6596177,3.855072,17.52299,14.72508,35.24111,29.30604,9.231644,31.8282,22.39649,7.586022,17.04397,13.87864,11.04615,27.64056,22.79739,18.41766,12.66813,29.10144,28.45292,0.5019504,9.859735,11.27711,19.06327,20.49097,0.4778454,11.44139,31.60996,30.68611,22.8175,14.97498,22.7525,15.34361,30.29294,23.7363,18.69972,10.22,7.447968
2022-01-01 09:00:00,1.542187,3.993551,27.47249,15.41275,34.48249,29.01811,11.36324,32.6698,22.75457,8.147198,17.66417,12.22194,15.95287,26.92466,21.44518,17.74763,15.78216,28.82037,28.72375,2.095898,6.238956,11.01383,20.06514,,0.6990668,9.338609,31.01834,29.995,22.435,17.75033,23.06444,15.47528,20.00847,13.05544,22.20833,5.03,3.624819
