datetime,0310162,0310177,0310179,0450307,0550502,0605008,E206271,E207417,E207418,E207723,E209177,E209178,E216670,E220217,E220891,E222520,E222778,E223615,E223616,E223756,E225267,E227431,E229797,E231866,E232244,E232246,E234670,E238212,E240337,E249492,E263701,E269223,E271963,E273483,E275843,E282711,E283549,E285829,E286369,E289309,E292149,E293810,E304570,M107004
2022-01-01 00:00:00,10.70867,3.305972,4.233764,8.996135,6.663926,19.87943,2.674152,8.793361,3.847028,8.544742,8.557389,2.755194,2.0,7.0,1.696121,17.47863,2.459033,36.0,0.0,4.389639,2.425554,79.0,6.0,42.0,17.19563,9.187619,23.0,10.16594,19.0,22.03288,25.67593,21.0,2.944751,50.98889,3.078389,14.0,3.460139,35.0,11.96258,1.374722,50.97853,5.242306,20.89382,3.059772
2022-01-01 01:00:00,17.71843,11.80062,6.732955,9.748677,5.77986,20.22215,4.077222,6.159706,3.421575,10.70139,6.351373,3.227144,2.0,5.0,1.23805,16.74603,2.396291,22.0,2.0,5.845196,3.517412,134.0,5.0,51.0,15.07183,6.934012,24.0,14.55605,19.0,19.19795,17.65353,22.0,3.333313,51.0,13.10042,10.0,4.431961,30.0,12.79422,2.840752,54.10088,4.797661,14.59563,3.36675
2022-01-01 02:00:00,19.84428,11.02053,5.039583,9.820958,4.401804,16.58011,4.076778,6.603194,2.768055,6.299942,7.032833,2.955555,4.0,10.0,1.466167,36.03785,2.676429,27.0,1.0,3.622278,3.137361,60.0,3.0,41.0,18.23214,7.272972,21.0,7.313472,14.0,18.53919,29.00519,24.0,3.344455,44.00972,1.914583,5.0,5.183222,40.0,10.25546,1.589611,51.13612,4.105092,10.62777,2.236248
2022-01-01 03:00:00,20.69983,6.878889,3.952517,9.146762,1.959499,9.248498,3.806111,7.194305,1.46775,5.474733,6.937083,2.709944,3.0,6.0,0.9992778,8.443222,2.663237,6.0,1.0,3.673556,3.435637,52.0,6.0,20.0,19.77071,7.981028,17.0,6.409945,12.0,16.08857,18.67924,24.0,3.770692,35.0125,4.109472,2.0,3.292639,43.0,9.614443,3.624472,32.68617,3.944939,5.577013,1.87061
2022-01-01 04:00:00,14.39556,7.27525,2.812808,6.27743,1.664512,11.37136,3.704695,5.298584,1.397889,4.901164,4.187194,2.720556,3.0,2.0,1.121806,6.24542,3.428819,4.0,0.0,3.076639,3.648277,29.0,8.0,17.0,15.974,7.801139,22.0,6.459694,7.0,15.02158,16.97634,19.0,3.199323,42.98889,4.020278,0.0,1.416889,36.0,10.2664,1.832389,44.79364,4.2132,6.831639,3.19011
2022-01-01 05:00:00,10.39781,5.034083,3.040372,5.022832,0.592583,9.193277,2.414056,3.186865,1.038861,4.317955,2.230583,2.003417,4.0,1.0,1.138472,4.047618,3.138576,2.0,0.0,2.240417,3.390777,30.0,9.0,9.0,14.6854,6.280445,19.0,5.719222,5.0,13.36724,20.87906,15.0,2.153475,47.99306,3.709417,3.0,1.236722,8.0,11.48632,3.949861,25.71206,4.642733,3.130012,1.526805
2022-01-01 06:00:00,9.454805,5.001945,5.025043,4.616125,0.922236,6.019887,2.19025,0.6222748,1.29275,4.251242,2.332972,1.916833,2.0,1.0,1.415139,5.757019,2.891927,1.0,0.0,2.286583,2.499083,24.0,7.0,8.0,15.24517,6.219083,20.0,4.815084,7.0,10.21728,12.76532,17.0,1.550544,39.0125,3.147556,5.0,0.8392778,6.0,12.30565,4.567028,15.83134,3.884992,2.591976,0.666
2022-01-01 07:00:00,10.14147,3.95175,1.090248,4.388846,0.556568,7.846847,2.403,1.076444,1.570798,3.670797,1.260722,1.9025,1.0,3.0,1.225722,5.757019,2.740521,1.0,3.0,1.850278,2.241498,20.0,6.0,7.0,13.41407,5.476528,24.0,4.683306,7.0,10.8919,12.32022,11.0,1.36265,17.03056,3.156583,3.0,0.8603889,6.0,16.45232,4.270472,14.35606,6.261928,2.35865,0.564
2022-01-01 08:00:00,9.705989,1.334194,0.9888358,4.11353,0.695263,8.411401,2.173626,2.1465,0.9966667,3.444656,0.3449722,3.428944,0.0,9.0,1.336897,6.001221,1.679767,1.0,1.0,1.868278,1.869356,19.0,9.0,6.0,13.80155,1.740744,18.0,4.265619,7.0,9.751125,9.376943,6.0,1.593937,16.00139,3.117389,2.0,0.8088056,7.0,14.9311,4.550889,11.42045,10.77203,3.136588,0.550366
2022-01-01 09:00:00,6.497019,0.4067079,1.656446,3.906368,0.565208,9.006429,2.157253,1.524085,1.412987,4.263381,0.0041503,2.392451,0.0,6.0,2.009277,8.931624,2.755335,3.0,0.0,2.888954,1.944179,15.0,7.0,8.0,17.82955,11.61515,20.0,4.20951,5.0,10.85897,11.95282,2.0,2.246186,12.00556,4.038333,3.0,0.8048366,6.0,17.17039,3.879902,7.849822,11.74526,3.412976,0.450861
2022-01-01 10:00:00,4.70125,0.5758055,1.973451,3.742444,0.585663,9.711512,2.734195,1.730417,1.756889,4.846278,0.2561389,2.933056,1.0,4.0,3.156611,8.931624,3.56902,3.0,,4.65125,2.233194,16.0,5.0,12.0,15.75926,3.354083,20.0,4.305917,8.0,11.75083,12.57933,5.0,2.681293,19.98889,4.360028,0.0,0.7794722,6.0,15.05161,3.87325,6.813756,10.3778,5.163174,0.598443
2022-01-01 11:00:00,5.095389,0.5775,1.937061,3.841624,0.741083,8.609623,3.061139,2.482917,1.549278,5.041281,0.3471944,2.476472,1.0,3.0,2.235806,5.26862,3.23351,4.0,,5.172639,2.799277,14.0,4.0,8.0,12.53839,3.819056,10.0,6.2935,11.0,9.620875,27.59046,5.0,3.507038,27.98889,3.827556,0.0,0.6323333,6.0,11.70636,3.142944,7.499331,10.15575,5.717125,0.613804
2022-01-01 12:00:00,3.426445,0.9370555,2.025326,3.583791,0.558054,6.792082,3.727528,3.245472,1.805139,5.19075,0.7688611,2.433833,1.0,5.0,1.941417,6.001221,3.143228,4.0,2.0,3.835111,2.312194,12.0,5.0,9.0,5.688125,5.738695,11.0,5.117583,11.0,6.864984,19.08211,7.0,3.662977,28.0,4.9115,2.0,1.160833,6.0,9.528388,3.8235,12.87552,7.699594,6.259016,0.527526
2022-01-01 13:00:00,3.236556,1.249917,1.778163,3.42436,1.098013,6.05,4.216139,3.256139,2.147861,3.529505,0.6347778,3.01375,2.0,5.0,2.24625,10.39682,3.869493,4.0,3.0,2.814583,1.723194,6.0,2.0,6.0,3.469514,8.222639,12.0,5.308444,13.0,6.281901,22.47714,5.0,3.691451,24.00556,4.788917,2.0,1.401972,5.0,8.870569,3.237195,11.25223,6.548808,3.732897,0.602333
2022-01-01 14:00:00,3.153583,1.145972,2.507883,3.241014,0.604236,5.376957,4.063667,2.113694,2.228306,3.1044,1.125556,3.407444,2.0,3.0,2.614111,8.931624,2.808736,2.0,4.0,1.404528,1.843611,1.0,3.0,6.0,0.1646111,5.677111,10.0,6.367445,8.0,7.483623,26.65257,3.0,2.937273,23.00139,4.104556,1.0,1.608361,7.0,6.586637,5.132417,11.55717,4.739531,4.419291,1.112887
2022-01-01 15:00:00,2.384778,1.314667,3.216919,2.740721,0.653361,3.994998,4.793389,2.437732,2.288056,4.214497,0.7874445,3.811222,1.0,1.0,2.581778,7.710621,2.399045,1.0,4.0,2.657222,2.088138,2.0,3.0,7.0,0.2335694,3.153861,14.0,6.433444,3.0,11.14043,35.7096,3.0,7.650577,16.00972,4.15,1.0,1.96775,4.0,5.593332,5.348417,12.25004,5.727178,7.30268,2.653776
2022-01-01 16:00:00,2.31113,1.022417,3.241314,2.426166,0.718735,3.680887,4.830439,1.5285,2.251639,3.231603,0.7719445,4.599833,1.0,5.0,2.701264,9.908425,2.366059,4.0,5.0,4.25,1.358976,5.0,6.0,6.0,0.2927966,2.689881,16.0,7.947861,4.0,8.207971,42.43062,4.0,4.575673,14.00278,4.562556,3.0,2.282111,5.0,6.617958,5.041028,9.129243,6.026842,9.579963,1.198474
2022-01-01 17:00:00,2.317917,1.299837,2.693562,2.369776,0.704721,3.0,3.916728,1.31268,1.569098,2.559994,1.155948,5.690288,2.0,9.0,3.221887,11.37363,2.561806,3.0,1.0,8.400164,1.214424,3.0,9.0,6.0,0.3840705,2.528103,17.0,12.5264,6.0,5.267373,34.17067,4.0,3.597132,18.99306,4.917745,2.0,4.52268,7.0,7.505118,5.330359,7.549921,6.534836,6.954351,2.640054
2022-01-01 18:00:00,1.920417,1.832766,4.289372,2.316569,0.613318,2.435873,5.556833,1.261667,2.310778,1.981244,1.652722,4.782722,0.0,8.0,3.382222,8.687422,2.604567,2.0,0.0,10.17206,1.617027,12.0,5.0,4.0,0.5728611,2.608472,17.0,11.12042,6.0,5.590929,31.833,8.0,3.443521,19.0,6.402472,2.0,5.445278,6.0,7.125526,8.552,6.369668,5.777619,16.33029,11.73458
2022-01-01 19:00:00,2.899639,1.9145,5.980834,2.210901,0.598069,2.305916,5.601695,1.309083,2.666194,1.604856,1.446306,4.147083,1.0,6.0,4.276583,8.687422,2.592849,4.0,0.0,13.47025,2.586582,19.0,2.0,3.0,0.6067639,4.056611,18.0,10.87569,9.0,6.793623,36.75351,5.0,3.590289,10.0125,5.799806,1.0,4.776722,8.0,8.208957,5.061222,8.015616,3.696453,19.0769,3.934165
2022-01-01 20:00:00,3.79375,1.706083,3.963711,2.129637,0.782123,2.265137,3.702306,1.219778,1.784778,3.080033,1.124639,4.038028,2.0,5.0,4.964889,8.687422,2.366476,7.0,1.0,9.004444,2.406083,19.0,3.0,6.0,0.5409028,2.997306,8.0,15.61425,17.0,5.573165,59.96565,4.0,3.377829,6.005556,4.590556,4.0,4.05025,8.0,7.57754,6.207222,14.03068,4.813108,17.25917,1.882804
2022-01-01 21:00:00,1.897111,1.575722,4.744945,2.140819,1.011901,2.377222,3.0865,1.148167,1.240861,4.178781,1.131111,4.489555,4.0,7.0,4.665528,8.687422,2.925518,5.0,3.0,8.764833,2.763221,34.0,6.0,7.0,0.4995278,3.400333,5.0,9.483472,15.0,7.173139,50.33765,5.0,4.076427,3.004167,3.723806,3.0,3.392667,5.0,9.355875,7.469722,9.163893,7.850289,14.02835,6.283137
2022-01-01 22:00:00,3.610417,0.9748889,3.658933,2.050735,1.034124,2.094305,3.025306,0.9015278,0.9870555,3.954636,0.6903889,4.393111,3.0,6.0,5.765611,20.65324,2.733798,2.0,2.0,5.138611,2.403415,23.0,4.0,5.0,0.4515417,2.865806,6.0,9.643861,19.0,10.71236,55.88987,5.0,4.197766,2.001389,3.131167,5.0,3.322056,4.0,30.73135,7.471111,7.615581,4.744503,2.144069,8.850137
2022-01-01 23:00:00,6.161889,0.6705555,2.457314,1.921236,1.046833,2.279472,2.92375,0.7307778,1.137778,2.381644,0.2920833,6.810306,1.0,6.0,5.667389,19.67644,3.063352,1.0,0.0,6.394306,2.332055,11.0,3.0,3.0,0.5507917,2.674111,8.0,5.884111,7.0,9.414458,70.94569,5.0,4.291905,2.99861,,,2.867889,4.0,16.20757,4.556389,8.420497,3.066317,3.336266,10.66069
2022-01-02 00:00:00,2.10291,0.0,2.057933,1.86809,0.917739,2.171277,2.656608,2.249722,1.045639,1.868814,0.1062778,4.382444,2.0,4.0,9.535748,12.10623,3.270519,4.0,1.0,5.681,3.42038,7.0,10.0,6.0,0.6963277,2.618006,5.0,5.004278,6.0,6.198873,64.70211,5.0,,3.99861,,,4.142611,5.0,9.143387,3.453694,10.26632,4.025458,2.388144,34.68364
2022-01-02 01:00:00,0.31375,0.1280392,3.906675,2.382067,2.276736,1.597429,2.314691,3.740163,1.52802,1.651486,0.2683007,2.847105,1.0,2.0,4.904151,4.047618,3.110025,4.0,2.0,4.193693,4.998079,3.0,7.0,10.0,1.094904,6.196533,3.0,4.094444,3.0,4.807062,69.16003,5.0,,4.99861,2.561177,,4.950033,15.0,10.03653,3.141013,8.526589,2.741669,0.0,15.48555
