datetime,0250009,0260011,0450307,0770703,0770708,E216670,E223615,E223616,E224014,E225267,E226338,E230557,E231866,E234230,E234293,E237631,E238705,E243003,E248774,E249492,E254955,E257435,E262779,E264682,E269223,E273483,E278829,E282711,E285829,E286269,E288469,E292249,E292669,E293670,E295949,E300350,M102038,M107004,M109914,M111073,M114009
2021-01-01 00:00:00,0.820999,-0.740998,0.071998,-4.270273,-10.78514,0.381805,-0.093,0.093,,-5.656,5.967998,-5.706998,7.55,-3.824722,,-3.19088,7.375452,-5.001998,,0.286,1.552885,0.523998,-2.440999,-1.84,-7.762,3.554019,-0.372999,0.845694,7.169262,0.437,5.73,-0.101998,-7.238998,0.795,-5.831998,0.128998,7.21,-4.098,,-0.416999,1.667999
2021-01-01 01:00:00,0.783999,-0.759,-0.041,-4.130496,-10.26069,0.336804,-0.014999,0.083999,,-5.546,5.985,-5.598,7.763,-4.160832,,-2.516129,7.231153,-4.905,,0.497,1.64651,0.555998,-2.302999,-1.965,-7.604,3.500972,-0.796998,0.70486,7.099389,0.395999,5.448998,-0.477999,-6.685998,0.564,-6.09,0.137998,,-3.68,,-0.845,2.023
2021-01-01 02:00:00,0.725,-0.753,-1.049998,-3.749226,-10.39361,0.321666,-0.207,0.07,,-5.238998,5.933,-5.309,7.870998,-4.978332,,-3.634229,7.426918,-5.297998,,0.416,1.752202,0.421999,-2.259999,-1.271,-4.607998,3.38487,-0.833,0.564166,6.798569,0.405,5.750998,-0.458999,-5.811998,-0.23,-5.861,-0.174998,,-3.278,,-0.99,1.662999
2021-01-01 03:00:00,0.705999,-0.638998,-1.988999,-4.735139,-10.29139,0.306111,-0.209998,0.016,,-5.151998,5.730998,-5.117,7.454998,-6.436944,,-4.001354,7.195675,-5.518,,0.745,1.758901,0.307999,-2.286,-1.115,-2.895998,3.394773,-0.732999,0.488193,6.61086,0.305999,5.765998,-0.291999,-5.059,-1.074,-5.642,-0.273,,-2.871,,-1.277999,1.699
2021-01-01 04:00:00,0.527,-0.718999,-2.15,-4.504486,-9.54625,0.282361,-0.323,-0.004999,,-4.356998,5.673998,-5.032999,7.264998,-7.503333,,-4.080637,7.023725,-5.275,,0.744,1.541872,0.182998,-2.040998,-1.131,-2.086998,3.453737,-0.941999,0.414443,6.58575,0.187,5.576,-0.303,-4.693998,-1.220999,-5.393,-0.232998,,-2.411998,,-1.074,1.09
2021-01-01 05:00:00,0.391999,-0.547999,-2.085,-4.498519,-9.204443,0.226805,-0.326,-0.024,,-3.721998,5.985,-4.949998,7.251998,-8.335276,,-4.071263,7.414855,-4.9,,0.488,1.436828,0.103,-1.741999,-1.472,-1.562999,3.439948,-1.065,0.433887,6.488541,0.190999,5.335999,-0.312,-4.106998,-1.019999,-5.133998,-0.148,,-2.013,,0.203998,1.929
2021-01-01 06:00:00,0.186,-0.492,-1.958999,-5.427266,-9.089304,0.207221,-0.351999,-0.045,,-3.427,6.159998,-4.587998,7.640998,-8.876667,,-3.826278,7.930081,-3.954998,,0.331999,1.599581,-0.004,-1.506,-1.472,-1.182,3.374612,-1.266,0.339026,5.989416,0.190999,5.473999,-0.289,-3.552,-0.941999,-4.941998,-0.063,,-1.797999,,1.192,0.707
2021-01-01 07:00:00,0.179,-0.444999,-1.756,-5.45217,-8.776109,0.205694,-0.344998,-0.087999,,-3.144999,6.169,-4.443998,7.806,-8.161665,,-3.545053,8.277233,-2.219,,0.437,1.613512,-0.007,-1.391999,-0.966,-0.795,3.34447,-1.467,0.327082,5.117125,0.144998,5.765998,-0.142,-3.161,-0.796,-4.749,0.05,,-1.736999,,1.154999,1.251
2021-01-01 08:00:00,0.165998,-0.391,-1.843999,-5.970685,-8.422778,0.202222,-0.391999,-0.115,,-2.913,6.093998,-4.361999,7.696,-7.080972,,-3.608849,8.539351,-1.554998,,0.5,1.624426,-0.052999,-1.276998,0.368999,-0.388998,2.990617,-1.445999,0.361665,7.029068,0.136998,5.796998,-0.104,-2.867,-0.971,-4.441998,0.165998,,-1.889999,,1.623998,1.498
2021-01-01 09:00:00,0.167998,-0.264999,-1.659,-6.10348,-8.186944,0.201943,-0.347,-0.096,,-2.769,6.103,-4.204998,7.835,-8.327776,,-3.568782,8.74797,-1.279,,0.625998,1.626219,-0.028,-1.019999,2.210999,0.247998,2.826622,-0.215,0.381805,7.54468,0.115,5.921998,-0.030998,-2.641,-0.879998,-4.004,0.024,,-2.161,,2.345,0.855
2021-01-01 10:00:00,0.187,0.006,-1.282999,-6.225114,-8.030415,0.207776,-0.294999,-0.072999,,-2.772,6.281,-3.898,8.329998,-8.651389,,-3.412388,8.938117,-1.199,,0.875998,2.357959,0.078,-0.592,3.013,0.811999,3.01299,2.163,0.297082,7.621235,0.15,5.815,0.030998,-2.298,-0.493,-3.378998,0.244,,-2.24,,3.572,1.350998
2021-01-01 11:00:00,0.298999,0.181998,0.293998,-6.336166,-7.512916,0.206387,-0.175999,-0.05,,-2.513,6.442998,-3.059,9.13,-8.992776,,-3.390185,8.682828,-1.712,,1.616999,2.727617,0.241999,-0.250999,3.180999,1.317999,3.14488,2.811,0.344861,7.807236,0.223,5.46,0.101998,-2.019999,2.015,-2.832,0.300998,,-1.978999,,4.392,1.633998
2021-01-01 12:00:00,0.568,0.240998,3.556998,-6.289729,-6.762639,0.213888,-0.193,-0.001,,-1.937999,7.429998,-1.888,9.069998,-8.336387,,-3.422971,8.458999,-2.438998,,1.748998,3.83059,0.361999,-0.082,4.166998,1.810999,3.827322,3.545,0.436805,7.974874,0.224998,5.151,0.210998,-1.332998,4.449998,-2.124,0.275,,-1.404,,4.522998,1.817
2021-01-01 13:00:00,0.856998,0.224998,4.184,-6.146057,-6.253889,0.250138,-0.158998,0.032,,-1.606999,8.72,-1.24,9.439998,-7.677916,,-3.368812,8.819078,-2.388998,,2.769999,4.035111,0.497,0.446,4.737998,2.836998,6.746789,4.193998,0.38486,8.010125,0.326,5.182,0.194,-0.515999,5.165998,-1.58,0.326,,-0.915,,5.236999,1.003998
2021-01-01 14:00:00,0.981,0.23,5.219998,-6.142951,-6.399444,0.280416,-0.112998,0.052999,,-1.156,9.0,-1.457998,9.71,-7.518887,,-3.273967,8.920329,-2.091,,2.782999,3.527837,0.527998,0.547999,5.686998,3.184998,10.65344,5.171,0.3725,8.108679,0.195998,5.399,0.182998,0.56,6.11,-1.177,0.398,,-0.67,,5.633998,1.578999
2021-01-01 15:00:00,1.065,0.27,5.828999,-6.166156,-6.256526,0.275137,-0.103,-0.018998,,-0.805998,9.39,-1.269999,9.729998,-7.413609,,-3.195355,9.241423,-1.879999,,2.584,3.266586,0.565998,0.782,5.824998,3.532,10.39277,5.684,0.334722,8.383764,0.120999,5.885,0.194,0.846,6.602,-1.044999,0.298,,-0.953,,6.363998,1.643
2021-01-01 16:00:00,1.095,0.206,6.372,-6.588623,-6.067082,0.279026,-0.101998,0.016,,-0.884998,9.96,-1.264999,9.67,-7.419722,,-3.419209,9.403351,-1.889999,,2.292,3.143908,0.579999,1.106999,6.094998,3.867,9.600632,5.986999,0.31986,8.649305,0.109999,6.294,0.112,0.820999,6.973,-0.846,0.190999,,-0.934,,6.846,2.144
2021-01-01 17:00:00,0.991998,0.153999,6.568998,-7.304202,-5.767221,0.275276,-0.065999,-0.004999,,-0.879,9.75,-1.424998,9.6,-7.378333,,-4.273331,9.640673,-1.914999,,1.832998,2.998655,0.577,1.761,5.485,3.927999,8.904337,6.051,0.359304,8.612028,0.119998,6.337998,0.071998,0.758,7.183,-0.625,0.129998,,-0.884,,6.985,2.302999
2021-01-01 18:00:00,0.967,0.174998,6.493999,-7.804059,-5.695693,0.264026,-0.192,0.014,,-0.688,9.75,-1.962,9.77,-7.225972,,-4.927949,9.619426,-1.901,,1.646999,2.635237,0.619,1.412999,4.768,3.904999,8.851501,5.789999,0.455554,8.408097,0.178,6.513998,0.089,0.300998,7.208,-0.035,0.223,,-1.054,,7.389998,1.927
2021-01-01 19:00:00,1.042999,0.300998,6.139998,-8.179659,-5.741943,0.310833,-0.172998,0.025,,0.289,9.789999,-3.359998,9.75,-7.188471,,-5.262506,9.6529,-0.497999,,1.506,2.803467,0.607999,1.748,3.844,3.651998,9.227281,5.945,0.396943,8.212332,0.289999,6.283998,0.039,0.317999,6.907999,0.363999,0.141,,-1.593,,7.44,2.270998
2021-01-01 20:00:00,1.187,0.331999,5.455998,-8.894302,-5.633471,0.416249,-0.185,0.083999,,0.244,8.819998,-4.586998,9.539999,-7.199998,,-5.496685,9.593529,1.488999,,1.692999,3.1645,0.745998,2.247998,3.072999,2.851999,9.332573,5.046,0.524721,7.45111,0.437999,6.126998,-0.004,0.178,6.043,0.917999,0.052,,-2.371,,6.934998,2.377
2021-01-01 21:00:00,1.100998,0.238998,4.618,-9.057826,-5.734582,0.252777,-0.079998,0.003,,-0.603999,8.27,-5.129,9.279998,-7.137776,,-5.891439,9.885779,1.69,,1.771,3.264055,0.898,1.039,3.673,1.470999,9.031278,4.421,,7.315152,0.293998,5.697,0.004999,-0.356999,5.488998,0.912998,0.342,,-2.413,,6.711998,2.005
2021-01-01 22:00:00,1.083999,0.338999,4.751998,-9.181749,-5.90625,0.240971,-0.025,0.046,,-1.375,8.47,-4.361999,8.609998,-7.016665,,-6.100532,9.036053,1.733999,,1.937,3.632652,1.024,0.721,4.4,0.456999,8.294495,4.533998,,7.478569,0.224,4.986999,-0.128,-0.967,5.578999,1.009999,0.467999,,-2.115998,,5.665998,2.951998
2021-01-01 23:00:00,1.100998,0.018998,4.697999,-9.213207,-6.005971,0.260138,-0.028999,-0.009998,,-0.847,8.85,-4.754,8.52,-6.866527,,-6.321328,8.994628,1.906998,,2.908998,3.450339,1.291,0.55,2.940999,-0.115,9.180019,4.556,,7.089138,0.224,5.059998,-0.039,-2.019999,5.594998,-0.172,0.361,,-1.865,,4.933,1.896
2021-01-02 00:00:00,0.940998,0.006,4.784998,-7.917825,-6.180972,0.318194,0.097,0.112,,-0.148,8.93,-5.403998,8.26,-6.952361,,-8.683236,9.066287,2.299998,,4.382998,3.164328,1.169999,0.518998,3.223,0.897,9.240129,4.609,,7.471068,0.451999,4.855998,0.030998,-2.296998,5.653998,0.125,0.634,,-1.546,,3.555999,2.562999
2021-01-02 01:00:00,0.855,0.024,4.71,-4.9583,-6.158194,0.339861,0.082,0.059,,0.602998,9.43,-5.186998,7.986,-7.111111,,-9.449688,9.236007,2.377,,3.612998,3.060884,1.314,0.54,3.582998,2.415998,9.359802,4.48,,7.057513,1.309998,4.702,0.039,-2.717998,5.532999,0.642,0.519999,,-1.169999,,2.907,1.828999
2021-01-02 02:00:00,1.095,0.093,4.953,-2.071322,-6.102221,0.362361,0.165,0.123998,,0.723999,9.59,-4.309998,8.17,-7.171804,,-8.150445,9.003428,2.4,,2.516999,2.725615,1.531,0.640999,3.101999,0.782998,9.410908,4.723,1.258332,7.776944,1.389,5.401998,0.046999,-3.111999,5.703,0.689,0.54,,-0.66,,2.059998,1.83
2021-01-02 03:00:00,1.253,0.115,5.000998,-1.464205,-7.926527,0.287221,0.179,0.123998,,1.049,9.13,-3.586998,8.1,-7.20625,,-7.589682,8.97631,2.536,,1.952998,3.811805,1.347,0.446999,4.514998,-0.828,9.432207,4.852,1.588194,7.89575,0.856998,5.333,0.054,-3.430999,5.750998,0.811999,0.693,,-0.389999,,1.817999,3.078999
2021-01-02 04:00:00,1.33,0.282,5.059,-1.778555,-10.40458,0.270276,0.108,0.039,,-0.3,9.119998,-3.561,7.817998,-8.003054,,-7.444636,8.903437,2.328,,1.467,4.160274,1.743,0.49,4.869998,-1.09,9.119754,4.903998,1.55875,7.781262,0.485,4.61,0.045,-4.208,5.822999,0.421,0.611998,,-0.528998,,1.417999,3.125
2021-01-02 05:00:00,1.432,0.344,4.763998,-1.825209,-11.22667,0.300693,0.114,0.119998,,-2.128,8.979998,-3.338,7.668,-10.49764,,-7.603244,8.807766,2.641,,1.625,4.399682,1.536,0.689,4.691998,-1.96,8.531581,4.596,1.462499,7.398083,0.379,4.706998,0.045,-5.375,5.518,0.104,0.439,,-0.057998,,1.116999,3.293998
2021-01-02 06:00:00,1.542,0.472,4.578,-1.539399,-11.76778,0.270415,0.041999,0.087999,,-2.463999,9.3,-2.976,7.78,-11.89389,,-7.596829,8.591117,2.66,,2.085999,3.499381,1.666,1.745,5.461998,-0.349,7.849565,4.203,0.62986,7.070623,0.263998,5.539999,0.024,-5.539999,5.25,-0.847,0.432,,0.544,,2.997998,3.322999
2021-01-02 07:00:00,1.570999,0.503,4.515998,-1.356022,-12.11069,0.227777,0.108998,-0.004999,,-1.276998,9.149998,-0.823,7.651998,-12.72791,,-7.678186,8.222596,2.831,,1.916,3.430236,1.61,2.568,6.73,2.117,7.25216,4.227,0.465694,7.131457,0.247998,5.271998,0.021998,-5.078999,5.160998,-2.252,0.412,,1.116999,,3.328999,2.756999
2021-01-02 08:00:00,1.616,0.625998,5.051,-1.297842,-12.3475,0.259443,0.054,-0.048999,,0.563,9.01,1.998,7.573998,-13.23861,,-7.716424,8.249296,2.903,,1.917,3.050673,1.629999,2.490998,7.243,1.937,7.353181,4.828999,0.450971,6.813958,0.352999,4.679998,0.103,-2.865998,5.750998,-1.978999,0.361999,,0.763,,3.121,2.269999
2021-01-02 09:00:00,1.661,0.639998,5.275,-1.219987,-12.65986,0.300137,0.032,0.009998,,0.358,8.739998,1.810999,7.599998,-13.52583,,-7.732174,8.269106,2.997998,,2.546,2.97229,1.605,2.467,6.693998,1.126,8.083583,5.047998,0.560137,6.958776,0.579999,5.125,0.093,-3.019,5.994998,-0.982999,0.393999,,1.026998,,4.458,3.428998
2021-01-02 10:00:00,1.685999,0.857999,5.464,-1.21594,-12.80458,0.508888,0.097,0.508,,1.029,8.59,2.105,7.534998,-13.66417,,-7.712759,8.170701,3.111,,2.585,3.126141,1.781998,2.167,7.063,2.713999,9.185171,5.186998,0.970416,7.397819,1.355,6.656,0.137998,-3.451998,6.136,1.625,0.566999,,1.483999,,3.759999,3.552
2021-01-02 11:00:00,1.983,1.277999,6.151998,-1.195953,-12.7475,0.430276,0.310999,0.592998,,1.429998,8.38,0.864,7.778998,-13.93569,,-7.756007,8.00068,3.349998,,3.752,3.200561,2.210999,2.710999,7.534998,4.239998,9.621503,5.968998,1.651666,7.656096,1.707998,6.696,0.153999,-2.992,6.86,1.601999,0.903998,,1.666,,3.661,4.841
2021-01-02 12:00:00,2.260998,1.705999,6.690999,-1.232154,-12.43389,0.743471,0.651,1.041,,2.107,8.279998,0.086,7.936998,-13.88111,,-7.394141,7.980665,3.844,,5.066998,3.041779,2.309998,3.391,7.768,5.558,10.82642,6.507998,1.727082,7.742708,2.131,6.374,0.317,-1.235,7.341,2.247998,1.723999,,2.515,,4.431,4.393
2021-01-02 13:00:00,2.578999,2.161,7.168,-1.702213,-12.18791,0.539026,0.495999,0.879998,,2.704998,8.149998,0.532,7.975998,-13.65778,,-7.2013,8.139978,4.131999,,6.651998,3.174092,2.904999,3.963,8.189998,6.018,10.66125,7.165998,2.077222,7.96229,2.188998,6.479,0.412,0.321999,7.848,2.138998,2.522,,3.059998,,7.51,6.868
