STATION_NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abbotsford A Columbia Street,,,,7.229438269750676,7.268850710900474,6.428428369462771,7.58010347230566,6.456245125586854,7.698933083815029,7.515602816507345,7.1269652342374075,0.784167
Abbotsford Central,10.19429347826087,9.117939021507917,8.718046971569839,9.163231822474032,8.991777188328912,8.40055315055315,9.74764003426276,7.876934788713849,9.13176990953781,8.87297647191781,8.621861631550557,1.446667
Agassiz Municipal Hall,,,,,7.571964501815248,7.17973757547608,8.031611249918397,7.745309634651055,7.655822355332015,8.125427216662825,7.247589822061192,2.660556
Blueberry River First Nation School,,,,,,,,1.1605737506115854,0.9135664773455074,,,
Burnaby Kensington Park,14.296498332539304,11.724482266127113,11.212165165516435,11.505798756502982,11.808692062743248,11.546731718786738,11.768464423226261,11.010893573235501,12.194155453702415,11.414813634954129,10.113511146826777,16.65879
Burnaby Mountain,8.389273519368892,7.43811127889418,8.075278810408921,7.745688158351661,7.847059515408139,6.80717230008244,7.775308533960941,6.637363461316872,7.439904266875653,7.435656046671258,6.939794237147806,5.071899
Burnaby South,15.922852668353212,13.394815517855024,14.007381649585163,14.008388312912347,14.358852287277383,13.985731076633757,13.819475991107991,12.202001246789429,13.51936439185573,12.547465451249568,12.614639576162656,11.16184
Castlegar Zinio Park,,,,5.819173400593276,6.477923750913075,6.07398914721263,6.304187879541735,4.759742268793775,6.434430790303031,6.372127725787378,5.438930188777873,5.181686
Central Saanich Stellys Cross Road,5.448179902590921,6.640757905755396,,,,,,,,,,
Chilliwack Airport,8.935469853340576,7.9837362896568,8.12572172266919,8.295334867075665,7.8616238543952495,7.084490904795653,8.850450626591401,7.784800622873507,8.251936826005865,8.326490839589376,7.459943211510542,0.8483334
Colwood City Hall,,,4.538848161177504,5.163035059041581,5.359172280036534,4.961339056784258,5.5039153956602345,4.751806039100802,4.92316656755082,4.706416582339366,4.528639329780565,
Coquitlam Douglas College,12.35642698986132,10.438006737135556,10.654770482277746,10.447369054786273,10.290256470312682,10.096039948902567,10.227132222080186,9.383652917243388,11.209287764550037,9.42911733267179,9.660314534376798,20.84721
Courtenay Elementary School,,,5.557905004890604,4.65267595720524,4.799760165451841,4.9634062427496035,4.4827907292573625,4.0476423953655045,4.61143180394579,3.8626450441962117,3.766706768813305,2.22861
Cranbrook Muriel Baxter,,,,,,,,,,4.580208294669299,4.498320758184649,5.926943
Crofton Escarpment Way,2.8386886102403346,3.8388805876004963,3.2943770852330663,3.454995291457036,3.6783589617606753,4.576051656336376,,,,,,
Crofton Substation,3.459723546234509,4.038298464504806,2.8848175236705162,3.817067039887492,3.6664917437633022,4.259613373676371,,,,,,
Duncan Cairnsmore,6.169102405342547,5.65467028803735,5.179535959597171,5.052285672019399,4.658815345193674,4.68674409701725,4.5282476479750775,4.523106787163152,4.36385184567786,4.961575326984128,,
Duncan College Street,,,,,,,,,,4.30174628055236,4.24352418523901,2.44116
Elk Falls Dogwood,4.54452026832102,5.10932188718132,5.264214242727381,3.9235937837398462,4.0453978186000725,4.279754307354664,,,,,,
Farmington Community Hall,,,,,,,,,3.7949080325900515,3.5945294911178247,2.885156842218503,0.91592
Farmington MAML,,2.3093272892307692,,,,,,,,,,
Fort St John Key Learning Centre,,,,,,,5.060996295363682,5.695626191591715,6.200951892597875,7.034477365593262,4.577220289572616,8.002444
Fort St John North Camp B_Amb,,,,,,,,,5.1737476517039,,,
Fort St John North Camp C,,,,,,,,,3.485652291152417,4.088465996937574,3.50879292078341,0.8279554
Groundbirch MAML,,0.4826724893238434,,,,,,,,,,
Hope Airport,7.248072805139186,6.690778903248341,7.1809915385532115,6.725251461988305,6.575346162872565,6.238748462904769,7.070580813829156,5.8095063182460605,5.033960350023463,4.347593582669277,5.220045719074139,7.381892
Kamloops Aberdeen,,,,,,,2.882307404550626,2.4036820712447886,2.857648444878979,6.723667281030445,,
Kamloops Brocklehurst,8.808184022080884,8.535008552058967,8.649941938347965,,,,,,,,,
Kamloops Federal Building,,,,,15.550763544117649,11.783213289356114,11.191322219207132,10.084415379874866,11.276828016650626,11.796129394417825,10.86696220897666,3.197901
Kamloops Fire Station #2,,,10.479702650010411,10.950008955090183,9.88640965776968,,,,,,,
Kelly Lake MAML,,,2.5637880659090913,,,,,,,,,
Kelowna College,8.275283494073431,8.193157759276993,7.388996820967549,7.618975977503628,5.87664828275117,6.70214742953423,7.089100508616983,6.844861160145366,7.625980389029843,7.154350918726861,8.357352875931232,
Kelowna KLO Road,,,,,,,,,,,6.604670090801421,8.424444
Keremeos Municipal Office,3.1128747142156254,,,,,,,,,,,
Kitimat City Centre MAML,,2.9318290926548247,1.9914210477654293,,,,,,,,,
Kitimat Rail,1.740715569023518,1.5252346772835486,,,,,,,,,,
