STATION_NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Abbotsford A Columbia Street,,,,3.5165515169720636,3.7110058049994077,2.975777568331763,3.574973157515319,2.8375019212441317,3.5284277827343553,3.1448604000932616,2.937064464952448,0.337778
Abbotsford Central,6.447069943289225,4.637024344126684,5.825899369514155,3.911414069877243,5.723135409123824,4.34011544011544,4.840885084569943,2.290721199035975,3.492964580583324,3.1113705276410495,3.359365608688167,0.315
Agassiz Municipal Hall,,,,,6.203206291591047,4.121040408732002,4.939909298006528,4.4042519185717595,4.072850249412722,4.4000182982253975,4.7700747200138025,0.4933333
Blueberry River First Nation School,,,,,,,,0.5182318156012001,0.3161655001984915,,,
Burnaby Kensington Park,9.308873272987137,6.328790764103784,5.838811556907241,5.294251998477351,7.663946220073122,6.834681401363744,6.180469939522296,4.84219346643373,5.7653447252901575,4.7353005574426605,4.633417043601346,2.909178
Burnaby Mountain,2.461156246320499,2.646474619584156,2.3934944237918216,2.1877763630049776,2.583827334744766,2.3762628046626633,2.646294401543679,2.08707270031746,2.0598065768257285,2.080682075814968,2.1120163854272516,0.0564061
Burnaby South,9.4438019515721,5.553659983390675,5.8925695461200585,5.268155042412818,8.311898380142173,7.726375176304654,6.8743096630045635,4.518148130264259,5.619033887457824,4.7404424265806755,5.105464085382098,0.4454211
Castlegar Zinio Park,,,,1.8456574368325642,1.759977893961529,1.871047170559941,2.1625860065453058,1.388280516140078,1.6260827127464021,1.6459233610232895,1.3440896700012184,0.723155
Central Saanich Stellys Cross Road,2.181260635148943,3.9531550352051834,,,,,,,,,,
Chilliwack Airport,6.406572514937534,5.983913197311003,7.306223379081874,4.456492842535787,4.802930544797315,3.9722182849043235,7.146126389995196,4.292304556080916,6.159752821313783,5.7355211944554,5.115480096140108,0.5713889
Colwood City Hall,,,2.8093216462294657,2.0649758889382777,3.1199797401802387,1.9385924585283563,2.8882507540339635,1.587349639483439,1.9779252134202947,1.7117031990890452,1.520815243552382,
