,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE,RAW_VALUE
Month,1,2,3,4,5,6,7,8,9,10,11,12
STATION_NAME,,,,,,,,,,,,
Abbotsford A Columbia Street,19.343333333333383,26.623307086614197,31.085410764872453,31.87341040462414,25.854202898550636,23.561911554921593,20.444657534246407,21.32043895747596,15.880255681818193,15.692434662998636,22.193078055964705,13.811958146487227
Abbotsford Central,15.312033195020733,22.159757942511302,26.43686440677979,28.443140028288514,24.767955801104936,24.724927953890493,22.83830104321906,22.240934065934134,15.789655172413742,14.52410958904101,20.30712250712256,12.150403225806484
Agassiz Municipal Hall,20.161035422343446,23.59680365296806,26.152868852459076,27.434848484848562,23.80617283950621,22.563559322033875,21.736784741144387,23.67702888583222,14.789577464788675,14.28581173260571,16.101001430615263,18.437702702702556
Blueberry River First Nation School,31.220208002945224,34.68359044164077,36.79388873399762,37.996757463768525,33.02756504641284,26.304164716617237,22.165686780112086,23.069526366666782,21.640009353711783,27.84441612921351,27.240177307060844,
Burnaby Kensington Park,14.77956403269755,17.676712328767092,24.892360163710826,28.48177966101689,24.527123287671174,21.41183098591556,19.693278463648895,19.583106267030132,14.203813559322034,12.329058663028645,17.507500000000007,7.711907983761884
Burnaby Mountain,29.907765667574754,31.61331316187598,34.97276478679516,36.534788732394446,31.955994550408775,28.398166431593705,25.436899862825864,30.56885245901623,25.106760563380195,21.184468664850257,26.918828451882842,21.806451612903263
Burnaby South,14.349504950495126,18.225762195121984,25.892520775623318,29.6497878359265,24.444822888283362,22.218634423897594,18.723192360163594,17.36125511596186,15.652253521126607,11.779263301500645,16.818232819074336,7.244065484310989
Castlegar Zinio Park,19.63763618503872,21.79587143875994,20.967781143399083,22.897026430668557,24.825896679271946,22.166912615615622,28.39597099856734,24.407214684750706,19.34893442375362,13.483573611064433,10.346894502279573,18.506451357142854
Chilliwack Airport,17.79265367316344,22.01325115562417,26.737689133424986,28.154310344827564,25.92984869325995,24.678531073446333,22.053625170998604,21.879700272479546,14.646561604584518,15.10915300546448,15.109940652819025,14.64744623655912
Colwood City Hall,19.221489020437126,26.147285180124033,30.855409445686146,34.16596068940497,28.580108516854263,26.842072430029294,22.21595538169023,22.544768059259223,19.24149130690411,17.94944623735949,19.23569748867925,13.616282253737662
Coquitlam Douglas College,11.213915416098265,15.128096676737224,23.30899182561306,28.413681241184843,24.529395604395663,21.017570498915386,,22.856363636363614,14.986056338028149,11.234836065573736,15.411315417256077,5.67899728997287
Courtenay Elementary School,14.752568576868944,18.325510244548195,26.551213162181348,28.124906998546457,23.820565995768494,23.334846999999886,20.683894536690705,18.49706685112366,16.318016451895097,13.008039533707827,20.48017677648761,7.520364498768456
Duncan Cairnsmore,11.913415094565906,18.156655751166195,25.37600959915019,27.599632470160255,26.527022660869633,24.777263285266283,23.721887576056403,22.508152481012704,16.598022152180082,13.280359153089922,14.493630821220925,5.343892794258978
Farmington Community Hall,6.662776,,,,,,,,,,,34.13784357659215
Fort St John Key Learning Centre,25.74822418526328,28.2546621700467,30.988699121602252,35.19308738115964,32.89168704096056,26.07671654298635,20.013658678868502,20.450333514164296,19.879357211432747,22.35072729768792,19.76878702503618,26.485899064936884
Hope Airport,17.405822416302726,22.312139605462917,24.16027586206891,25.017489421720715,23.806645569620233,24.247428571428564,25.95283540802203,29.23855755894595,17.340086206896686,13.954633471645879,14.71807909604524,15.36476964769649
Kamloops Federal Building,13.068266840227244,18.612131328170413,26.862277306610167,30.77597057619738,27.682601437587827,28.530392557163697,31.969524909090993,23.67999078151257,19.022491611111068,13.763253447887339,15.025919560693623,10.691673948179277
Kelowna College,20.9994918149964,25.119468049612447,24.414862277074352,30.997923342028493,31.83553672447568,29.350709545166396,34.13479255364802,29.47777900840337,21.46973654720587,16.434607350139977,17.028485009547573,17.106951053076813
Langley Central,21.202868852459083,25.024962178517313,30.443228454172345,31.500140845070327,24.588611111111298,23.74850213980033,21.380470914127386,21.263458856345842,15.569241773962798,14.676933701657395,23.002881844380536,12.465594405594397
Maple Ridge Golden Ears School,13.10115473441102,21.35045454545454,27.807377049180385,31.729337094499268,26.865846994535584,24.964164305949005,22.881147540983548,22.992506811989127,16.62387005649728,14.096159122085032,18.26853932584279,8.312584573748383
Mission School Works Yard,21.712983425414265,25.950454545454512,29.546384720327634,30.98845070422547,26.802455661664286,25.823537803138432,23.819618528610317,25.4267394270124,17.670140845070414,16.299045020463815,21.83309957924266,15.83871906841337
Nanaimo Labieux Road,19.020124621723205,24.905767736760055,28.699792800000115,29.327195562682274,26.347470839436703,24.383821795355484,22.093832475988666,21.948191570422647,19.481624851311818,18.365001210970533,19.730088332365757,14.405906832016884
New Westminster Sapperton Park,7.723705722070856,11.627932098765468,19.017438692098047,23.49084507042247,20.76046511627905,17.985918003565008,17.802751031636834,15.186620689655186,11.142736248236945,8.246721311475412,11.377240398292995,3.5067700987305916
North Delta,14.08212824010916,18.871493212669755,27.19518459069008,28.9180281690141,23.86766712141873,21.99774647887319,19.89657064471881,18.338062755798067,14.234555712270717,11.589768076398382,17.822377622377676,7.000134408602162
North Vancouver Mahon Park,14.049113233287898,16.333181818181796,24.702367688022303,28.752186177715025,23.52141882673938,20.481481481481396,18.4506830601093,16.531967213114765,13.421104815864028,12.345417236662088,17.161570827489363,7.459946236559182
North Vancouver Second Narrows,13.434109589041032,15.082952815829472,23.0041493775935,26.443988684582838,21.99234972677593,18.397878359264492,17.4914051841747,13.629618768328381,10.369787234042557,10.16406035665301,14.948251748251755,6.882162921348309
Pitt Meadows Meadowlands School,15.260792349726797,17.388487972508678,28.411740331491618,31.6381502890174,24.703389830508392,21.427153284671494,19.243232044198884,17.48481532147756,12.76861626248216,11.132941176470563,19.036581920904034,7.9134589502018
Port Moody Rocky Point Park,6.818361581920903,11.753669724770704,20.14802182810378,24.74492957746475,20.537206085753812,18.828349788434416,17.784447476125433,16.51604938271596,11.590340909090978,9.339890710382601,12.408555399719583,4.5167567567567515
Prince George 18th Avenue MAML,12.92528,,,,,,,,13.48669687663547,16.50040259467046,15.993501268613098,10.38875557387639
Prince George Plaza 400,19.79900169800588,24.38352066459632,31.082195741330075,31.803583567489092,28.63539360196909,24.326740683197112,19.448476365827577,18.35728798513795,,,,
Quesnel Senior Secondary,20.311370924157327,24.961954599999995,25.953829124649776,28.343728624637716,28.166727153846193,24.547607543026775,17.995171114005682,14.082859733767577,11.546846795722642,11.020196291140236,13.378642294478057,13.298073387310884
Richmond South,10.163561643835633,14.93957703927493,24.829411764705775,28.148028169014083,24.222646657571598,22.69845440494591,20.058333333333174,18.907923497267635,14.750422535211237,11.712806539509529,15.294602698650634,6.168145161290297
Rolla 213 Road,34.243724855539924,36.82980467817886,38.04128085348512,38.963774153400934,34.67231198250738,30.366989054252258,23.20191623613076,24.569682446478854,26.98400304093559,28.52090053445851,26.915259901762052,
Smithers St Josephs,11.968063293429017,19.012989811819526,28.717752484627436,27.53431243719254,27.696406063483252,19.144950691175477,15.42807072714489,15.534960758765747,10.754474085631328,13.277344336134458,11.980610462500007,8.757478446736952
Squamish Elementary,17.285879308943006,25.01507834828106,22.858931554777993,24.53568500000001,21.268580714749564,19.629909196388873,21.192480884194012,21.460866844005793,12.807893705555523,13.690441506206911,17.158226736871487,15.954261890322524
Surrey East,17.55306957708044,23.075000000000017,29.022746185852768,31.757545839210387,26.35518672199183,25.077601156069306,28.163461538461593,22.65065502183406,16.693857142857052,13.532284541723643,19.271045197740115,9.04543010752688
Taylor Lone Wolf Golf Course,26.95312254735372,28.32189066068231,33.45838074714278,34.46311180897255,30.31992143521129,26.179827427737226,19.063398859103707,21.54561780835743,20.631404013081408,22.81429458848311,23.50066547047764,24.818305820252995
Taylor Townsite,9.659310000000003,,,,,20.33242930065357,15.81666666666669,17.709265895280158,16.37185275569043,18.355135811320775,20.025502509489073,23.479843740168665
Terrace Skeena Middle School,18.480812654166712,24.883498250783486,30.919649214887755,29.797410185238576,27.583552612044816,20.726700627802657,15.522570684736168,16.71026483626377,12.228944437047753,13.511919917261025,17.352814898533637,16.533216609282807
Tsawwassen,19.15429740791283,26.84894259818731,32.86024759284728,34.3071428571429,28.509344490934538,25.85977337110486,23.052393980848155,22.231140350877176,19.22365439093487,18.584583901773534,24.33472803347272,13.781491712707188
Vancouver International Airport #2,10.43090659340662,15.039726027397265,24.635537190082708,27.08631875881523,21.741483516483452,20.25884016973143,19.264577656675826,16.3925068119892,13.211158192090439,11.4195088676671,15.769607843137223,6.1272357723577215
Vancouver Robson Square,5.7693259972489805,7.083509833585484,11.999863574352023,13.48855633802817,6.169620253164574,7.454674220963185,12.614979195561732,11.848976807639817,7.691396332863158,6.677110157367679,8.761702127659545,4.037516869095799
Vernon Science Centre,11.516748916149067,15.526140241860485,20.78177321830577,27.56437911432707,26.32681091316516,26.231341958092553,27.072947078931016,25.550478914445968,18.553705024781383,10.49620934523812,11.916826894356026,12.528642789915937
Victoria Topaz,20.246174344506976,26.632392783825907,31.44113880226003,34.07085660349842,26.30886950210961,23.502607374817202,17.589359195224752,16.032866211048155,14.832667272859222,17.253921165730404,20.713479281976802,14.890917483779948
Whistler Meadow Park,18.987149017567734,27.217194918960246,25.991685456908392,25.23863791249995,25.691038178861625,23.727400120814,24.480448735492605,23.70841671505375,16.980850225000026,14.763087067204276,16.666659149441358,19.1022355054201
Williams Lake Columneetza School,17.873286467787175,20.340536309486826,28.153924139633247,25.355160231548407,27.89409261516864,27.53610507402024,22.197298659688933,19.65447360364137,16.903478634782683,11.842738906536447,17.72323057748534,13.017468478502115
