STATION_NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017
Abbotsford Central,11.997269303201527,,,,,,,,
Burnaby Kensington Park,10.615213835008174,,,,,,,,
Burnaby South,12.44479335026553,,,,,,,,
Burns Lake Fire Centre,16.51859992101156,16.515312906535648,17.08444099448914,17.041530747020268,18.31396167437234,14.83542865584512,15.61860067268896,14.797619889325754,15.842140333491281
Campbell River Tyee Spit,9.642501461839336,3.540635,,,,,,,
Castlegar Zinio Park,,,13.69511558958382,12.769874326255257,13.496132424939036,13.077527630632714,16.363644127160924,11.37028673300529,15.942298780587228
Chilliwack Airport,12.461346287300485,,,,,,,,
Creston PC School,15.748375586153324,13.130969221327954,,,,,,,
Crofton Substation,10.541019413782188,9.679652263970882,,,,,,,
Duncan Deykin Avenue,9.6932311416309,9.144927090724872,,,,,,,
Elk Falls Dogwood,11.242431194228512,8.922799963636361,,,,,,,
Esquimalt Graving Dock,15.592870261025563,13.018416411582551,13.946025789280824,12.075662595314641,11.652896501465774,,,,
Farmington MAML,,9.040219114035105,,,,,,,
Fort St John 85th Avenue,,,,,,,,,11.550293146379474
Fort St John Key Learning Centre,,,,,,,19.796389853228238,16.605476390182027,20.707214980769212
Fort St John NP Cultural Centre,14.73219340107911,17.217338574942648,17.310505886549482,16.070352716613456,18.045029061356082,22.126592571940847,22.501010829235472,,
Fort St John North Camp B_Amb,,,,,,,,,42.98896300969293
Fort St John North Camp C,,,,,,,,,13.155870320295795
Fort St John Old Fort,,,,,,,,,9.53394542890718
Golden Helipad,,,,,17.084361978082967,16.457706124999962,17.74347733251697,15.504120378971336,22.48783300814884
Golden Hospital,20.379441032384474,19.332153209539033,17.284305304646786,17.037860088326035,23.572672204810488,,,,
Groundbirch MAML,,4.902864565359476,,,,,,,
Harmac Cedar Woobank,9.652075774932811,9.32077413952683,8.524958413881736,8.555500868514468,9.624854505777323,9.159941747165888,,,
Hope Airport,9.342206122925896,,,,,,,,
Houston Firehall,16.041469356787633,15.518421629872524,14.173550501374564,15.012070491061158,15.669864319961842,13.838447594307716,14.567164757455023,13.750888475752681,14.34793690780555
Kamloops Aberdeen,,,,,,,6.848657909765848,7.471227178183499,19.130615065653075
Kamloops Brocklehurst,17.68362282878412,,,,,,,,
Kelly Lake MAML,,,5.625988375103731,,,,,,
Kelowna College,14.113148896487411,,,,,,15.985579057352954,12.393437765022659,16.578978625558406
Kitimat City Centre MAML,,3.5219310344827495,3.653543088680113,,,,,,
Kitimat Haul Road,9.667723133672267,8.07630676010151,,,,,,,
Kitimat Rail,10.2844811975322,7.9309331461849215,,,,,,,
Kitimat Rio Tinto Alcan KMP Camp,,2.64700412290503,17.071553387907908,12.589777059565908,,,,,
Kitimat Riverlodge,8.448814509196614,8.084327169306734,6.837665364563052,8.659205331480711,9.584121562081004,9.410573415615898,8.870029436476838,7.796844522874494,
Langdale Elementary,10.019944057902643,9.180342147438148,8.331863436987591,8.231636532766302,10.035928128703839,8.830830481477266,9.669129309997519,7.659439327702695,
Langley Central,12.758692110774941,,,,,,,,
Nelson Kutenai Place,13.178962344320983,12.407424617663919,12.56008039548739,12.100946992231266,12.563463215323065,13.83787604325551,15.678098266716185,,33.261730103016504
North Vancouver Mahon Park,11.165832553788565,,,,,,,,
Peace Valley Attachie Flat Upper Terrace,,,,,,,,,5.901494861764711
Pitt Meadows Meadowlands School,9.823994354269589,,,,,,,,
Port Alberni Townsite,10.41320073481108,9.035557585072217,8.313878004079866,,,,,,
Powell River James Thomson School,7.9728449830437205,7.787601830685859,6.461800214277542,6.180495552573444,7.544833516571811,6.8173917842575715,7.162192644674167,6.2380523886243475,7.7749533644585425
Powell River Wildwood,7.408186864014801,7.603452233672631,7.2684482685576945,7.530101671043606,7.286913760474856,7.161374288516519,7.7893079915079335,6.4173323891396885,8.0798148412863
Prince George 18th Avenue MAML,,,,,,,,,18.444967680655665
Prince George BC Rail Warehouse,19.87185704516203,20.82392522169745,16.489004805538944,18.492970592762237,17.968376799495235,18.58115848793925,17.493136359651967,,
Prince George Gladstone School,12.733288191813992,14.162230544585938,10.358704354072527,11.73719734451251,12.041697235788417,12.088760893581123,11.784151965668073,,
Prince George Plaza 400,17.024737367093053,18.44002587743901,15.805358410421858,16.214368061163068,16.480897382285473,16.853547439829754,16.766333152595518,16.079046336928293,18.975635282214316
Quadra Island Cape Mudge Village,9.546604042305788,9.377208429701057,,,,,,,
Quadra Island Lighthouse,9.076492327050135,,,,,,,,
Quesnel Maple Drive,17.556262836065578,18.179932738191027,18.321261916796896,18.337603723866646,14.324758996626011,18.252413551149363,,,
Quesnel Senior Secondary,19.5945155154058,19.496995224601182,18.522735651137065,20.401433642041532,19.283279482692233,18.29435767252026,12.46909427344197,11.067647100146361,22.958799142094566
Quesnel West Correlieu School,13.01384417059701,16.063208526091085,12.082354896912024,12.361785592466322,12.490193983904215,,,,
Richmond South,11.874022669442466,,,,,,,,
Rolla MAML,,11.05584489305817,,,,,,,
Smithers St Josephs,17.93859257431048,17.74292403494683,13.89020793575016,15.139392000116088,21.01352851371469,13.397428553853171,14.507528128865985,13.0570341636534,13.262325818639232
Squamish Gov't Bldg,12.342699773088057,11.296390368541145,7.07948545261438,,,,,,
Surrey East,12.34957284691756,,,,,,,,
Terrace BC Access Centre,12.561028824500639,10.719807499140973,11.172898839514739,13.644807441741698,14.697554775248815,11.883300229238165,12.304654704617835,,
Tomslake MAML,,9.72380467603549,,,,,,,
Trail Aquatic Centre,13.494569931801628,12.449386778528519,,,,,,,
Valemount Firehall,,,,,13.981303238256023,19.76397405844118,11.584716366003512,,
Vancouver International Airport #2,11.594375000000014,,,,,,,,
Vancouver Kitsilano,11.149803235679922,,,,,,,,
Vanderhoof Courthouse,26.421932030180585,,,,,,,,
Vernon Science Centre,22.7783423308987,,,,,,20.583009349959255,18.0826887708643,23.705063273094726
Victoria James Bay MAML,11.36094926091268,,,,,,,,
Whistler Function Junction MAML,,5.227109449108074,,,,,,,
Williams Lake CRD Library,18.586961956765432,22.55277866399078,16.64947330642634,21.325645672266614,17.873652174591424,20.215797630630618,,,
Williams Lake Columneetza School,15.946927693130487,20.255304844096376,14.14230701028103,15.389369028185191,15.345196638109474,17.218754088782234,15.203334904817345,19.99833,18.29507488435376
